         466104169 function calls (439067109 primitive calls) in 1497.898 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4446    0.056    0.000    0.056    0.000 depth.py:176(<listcomp>)
    73996    0.056    0.000    0.056    0.000 {built-in method binascii.hexlify}
    62224    0.055    0.000    0.055    0.000 {function DecompressReader.close at 0x1057a0598}
    62224    0.055    0.000    0.070    0.000 _compression.py:12(_check_not_closed)
    87267    0.055    0.000    0.055    0.000 common.py:665(codec_options)
     1314    0.054    0.000    0.100    0.000 __init__.py:244(__init__)
    89590    0.053    0.000    0.053    0.000 mongo.py:46(<dictcomp>)
   259350    0.051    0.000    0.051    0.000 depth.py:132(<lambda>)
     1093    0.051    0.000    0.052    0.000 {method 'strftime' of 'datetime.date' objects}
    89592    0.050    0.000    0.064    0.000 common.py:141(validate_boolean)
    58178    0.048    0.000    0.048    0.000 common.py:672(write_concern)
1598/1552    0.046    0.000    0.201    0.000 {built-in method builtins.__build_class__}
        4    0.046    0.012    0.056    0.014 __init__.py:1334(warning)
    25794    0.045    0.000    0.045    0.000 unix_events.py:68(_process_self_data)
     3043    0.043    0.000    0.043    0.000 {built-in method posix.stat}
   116350    0.043    0.000    0.043    0.000 {method '__exit__' of '_thread.RLock' objects}
    10486    0.042    0.000    0.563    0.000 bitfinex.py:144(_handle_trades)
     1049    0.041    0.000    0.150    0.000 __init__.py:161(get_next_fire_time)
     4840    0.039    0.000    0.102    0.000 bitfinex.py:168(__gen_funding_trades)
     1081    0.038    0.000    0.038    0.000 {method 'send' of '_socket.socket' objects}
    29094    0.037    0.000    0.037    0.000 {method 'add_done_callback' of '_asyncio.Future' objects}
     4446    0.037    0.000    0.347    0.000 depth.py:174(snapshot)
    29087    0.037    0.000    0.045    0.000 __init__.py:80(_call_check_cancel)
   259350    0.037    0.000    0.037    0.000 depth.py:141(<lambda>)
    58178    0.037    0.000    0.037    0.000 common.py:690(read_preference)
    29089    0.031    0.000    0.031    0.000 core.py:145(get_io_loop)
      534    0.030    0.000    0.312    0.001 base.py:924(_process_jobs)
    29087    0.030    0.000    0.030    0.000 results.py:36(acknowledged)
      157    0.030    0.000    0.030    0.000 {built-in method posix.listdir}
      496    0.027    0.000    1.912    0.004 bitfinex.py:219(_transport_depth_snapshots)
    62224    0.027    0.000    0.027    0.000 _compression.py:150(tell)
    29089    0.027    0.000    0.027    0.000 database.py:160(name)
    58178    0.027    0.000    0.027    0.000 py3compat.py:59(_unicode)
    58174    0.026    0.000    0.026    0.000 results.py:179(bulk_api_result)
     2083    0.026    0.000    0.288    0.000 bitfinex.py:182(_handle_kline)
     6594    0.025    0.000    0.028    0.000 depth.py:162(update)
     2106    0.025    0.000    0.138    0.000 bitflyer.py:75(_handle_depth)
     1314    0.025    0.000    0.339    0.000 __init__.py:971(emit)
    58178    0.024    0.000    0.024    0.000 common.py:707(read_concern)
    62224    0.022    0.000    0.022    0.000 _compression.py:36(readable)
    677/1    0.022    0.000 1500.391 1500.391 {built-in method builtins.exec}
 1061/213    0.021    0.000    0.061    0.000 sre_parse.py:475(_parse)
     8492    0.021    0.000    0.048    0.000 expressions.py:32(get_next_value)
        6    0.020    0.003    0.020    0.003 {method 'read' of '_io.TextIOWrapper' objects}
      763    0.019    0.000    0.022    0.000 sre_compile.py:276(_optimize_charset)
      511    0.019    0.000    0.179    0.000 <frozen importlib._bootstrap_external>:914(get_data)
    58198    0.018    0.000    0.018    0.000 {method 'cancelled' of '_asyncio.Future' objects}
